parent_clip_id,clip_id,video_id,speaker_id,language,emotion,source_url,start_sec,end_sec,duration_sec,chunk_index,transcription,transcribed,selected,reviewed
3BUnv2jku0Q_13,3BUnv2jku0Q_13_43,3BUnv2jku0Q,3BUnv2jku0Q,hi-IN,Sad,https://www.youtube.com/watch?v=3BUnv2jku0Q,13,43,30,0,"दरअसल मैं मैं मैं काफी दिनों से आराम से नहीं बैठा। मैं आपको बता नहीं पाया। मैं आपको बताना चाहता हूं कि जिस जगह पर मैं काम करता हूं ना, वहां चाय पीने के लिए मुझे ten मिनट की छुट्टी मिली थी। लेकिन लेकिन मेरे लिए जगह नहीं थी वहां। वहां वो बड़े लोग बैठे हुए थे, वो काले, ग्रीक, पॉलिश।",Y,Y,
3BUnv2jku0Q_13,3BUnv2jku0Q_43_68,3BUnv2jku0Q,3BUnv2jku0Q,hi-IN,Sad,https://www.youtube.com/watch?v=3BUnv2jku0Q,43,68,25,1,"मेरे लिए जगह नहीं थी वहां। देखो मैं वहां काम करता था वो, वो मुझसे काम लेते थे लेकिन, लेकिन फिर भी मेरे लिए जगह नहीं थी वहां। मैंने अभी आपको बताया कि वहां वहां सब वो बड़े लोग बैठे हुए थे, काले ग्रीक, पॉलिश और भी तमाम थे। वो वो मुझे गंदा जानवर समझ रहे थे। गंदा जानवर।",Y,Y,
LhpZJwUboeI_3629,LhpZJwUboeI_3629_3651,LhpZJwUboeI,LhpZJwUboeI,hi-IN,Sad,https://www.youtube.com/watch?v=LhpZJwUboeI,3629,3651,22,0,अंडरस्टैंड। एंड इस मोमेंट में जो सबसे खराब चीज होती थी। मेरी मां का वीडियो कॉल आया। किस मुंह से उठाऊं मैं ये कॉल? क्या दिखाऊं मेरी मां को? रो रहा हूं बैठ के यहां टूटा पड़ा हूं। उन पे क्या बीतेगी यार? मेरी मां को प्यार देने के अलावा कुछ,Y,Y,
2DVNQVVoj9w_418,2DVNQVVoj9w_418_448,2DVNQVVoj9w,2DVNQVVoj9w,hi-IN,Sad,https://www.youtube.com/watch?v=2DVNQVVoj9w,418,448,30,0,"ज़रा सोचिए। एक बच्चा महज आठ या नौ साल का पढ़ नहीं पाता, लिख नहीं पाता। रोज़मर्रा के मामूली काम नहीं कर पाता। वो सारी चीजें नहीं कर पाता जो उसकी उम्र के बच्चे बड़ी आसानी से कर लेते हैं। क्या बीतती होगी उस पर? उसके सेल्फ कॉन्फिडेंस की तो धज्जियां उड़ जाती होंगी। अपनी खामियों को टेढ़ेपन के लिबास में लपेड़ कर दुनिया से लड़ता होगा हर रोज़। गदर मचाता होगा, गदर यहां।",Y,Y,
2DVNQVVoj9w_418,2DVNQVVoj9w_448_478,2DVNQVVoj9w,2DVNQVVoj9w,hi-IN,Sad,https://www.youtube.com/watch?v=2DVNQVVoj9w,448,478,30,1,"क्यों बताऊं दुनिया को कि नहीं आता? नहीं करना कह के टाल नहीं दूं? बड़ोसे तो सीखते हैं बच्चे। अब तो ये गदर भी कुचल दिया गया है वहां। मुझे अफसोस है, उसने पेंटिंग करना बंद कर दिया।",Y,Y,
2DVNQVVoj9w_418,2DVNQVVoj9w_478_508,2DVNQVVoj9w,2DVNQVVoj9w,hi-IN,Sad,https://www.youtube.com/watch?v=2DVNQVVoj9w,478,508,30,2,"बड़े दुख की बात है। लेकिन ईशान ही क्यों? इसका कोई जवाब नहीं है। इट्स अ न्यूरोलॉजिकल डिसऑर्डर, किसी को भी हो सकता है। कभी-कभी जेनेटिक भी होता है। आम आदमी की ज़बान में कहूं तो ब्रेन में ज़रा सी वायरिंग की प्रॉब्लम है बस। तो आप ये कह रहे हैं मेरा बेटा नॉर्मल नहीं है, मेंटली रिटार्डेड अजीब आदमी है आप?",Y,Y,
2DVNQVVoj9w_418,2DVNQVVoj9w_508_535,2DVNQVVoj9w,2DVNQVVoj9w,hi-IN,Sad,https://www.youtube.com/watch?v=2DVNQVVoj9w,508,535,27,3,यह देखिए। यह देखिए मिस्टर अवस्थी। यह तेज दिमाग हज़ार ख्याल बुन रहा है रंगों में। आपके और मेरी काबिलियत से कहीं आगे। लेकिन इसका फ़ायदा क्या है? इसमें फ़ायदा क्यों ढूंढ रहे हैं? तो और क्या ढूंढ लूं? क्या बनेगा बड़ा होकर वो? कैसे बराबरी कर पाएगा इस दुनिया के साथ? क्या सारी उम्र में उसे घर पर बैठ के खिलाता रहूंगा?,Y,Y,
zls4a7I_qaM_317,zls4a7I_qaM_317_347,zls4a7I_qaM,zls4a7I_qaM,en-IN,Sad,https://www.youtube.com/watch?v=zls4a7I_qaM,317,347,30,0,"Then happened, I mean, another tragedy. He died in a road accident. So then it was very hard. Very, very hard because it's a little emotional for me also when I speak about this. But I want to share this because, you know, it's very, very important to know how, how I have struggled, how my mom has struggled. So it was only me and my brother and my mom.",Y,Y,
zls4a7I_qaM_317,zls4a7I_qaM_347_365,zls4a7I_qaM,zls4a7I_qaM,en-IN,Sad,https://www.youtube.com/watch?v=zls4a7I_qaM,347,365,18,1,"My mom was gone. She was totally gone. And she also, she also gave up. Like it all happened in, you know, like say like one, one year or two years gap. It was just, just that.",Y,Y,
uCcbEu-7t1M_197,uCcbEu-7t1M_197_227,uCcbEu-7t1M,uCcbEu-7t1M,en-IN,Sad,https://www.youtube.com/watch?v=uCcbEu-7t1M,197,227,30,0,"feed off your lack of courage to fight back. And yes, I thought I was very confident. But when you are singled out and so many people in a new place, you know, target you together, it gets to you. And I crumpled under all the hate. It was bad. Around the same time, I started struggling with chronic cystic acne. That is another journey that I think we underestimate the effect of on your mind. My entire face was",Y,Y,
uCcbEu-7t1M_197,uCcbEu-7t1M_227_257,uCcbEu-7t1M,uCcbEu-7t1M,en-IN,Sad,https://www.youtube.com/watch?v=uCcbEu-7t1M,227,257,30,1,"covered with acne. Not even a single spot was clear. It was all red, black. And when you're 15, 16, it's like I hated looking at myself in the mirror because everybody for years, whenever somebody would meet me, instead of saying hi first, they would say, oh my god, what happened to your face? Why do you look like this? I feel so sorry for you. This was my life for years, and I really lost my confidence. You know, I disconnected from all the good things that I had in my life, like my few good friends.",Y,Y,
uCcbEu-7t1M_197,uCcbEu-7t1M_257_270,uCcbEu-7t1M,uCcbEu-7t1M,en-IN,Sad,https://www.youtube.com/watch?v=uCcbEu-7t1M,257,270,13,2,"I wouldn't talk to my parents too much. I just couldn't see the good things that were there in my life. I just, I just couldn't see them anymore. And you know when you lose confidence in yourself is when you are at your loneliest. Because you yourself can't",Y,Y,
KGAzkM_sf3I_78,KGAzkM_sf3I_78_89,KGAzkM_sf3I,KGAzkM_sf3I,en-IN,Angry,https://www.youtube.com/watch?v=KGAzkM_sf3I,78,89,11,0,"I did not choose this engineering life, sir, and neither did this engineering life choose me. It was shoved down my throat by my teachers while my hands were tied to my back by my friends, and my parents watched in silence.",Y,Y,
9bvcyGyzj7Y_172,9bvcyGyzj7Y_172_187,9bvcyGyzj7Y,9bvcyGyzj7Y,en-IN,Angry,https://www.youtube.com/watch?v=9bvcyGyzj7Y,172,187,15,0,"chah rahe hain, what do we do with them? We penalize them. We judge them. We make them feel guilty for their choices to leave on time. Why? Who is to blame for this? You. You and an office culture that has gone unchecked.",Y,Y,
xC9v9c_0XBo_585,xC9v9c_0XBo_585_615,xC9v9c_0XBo,xC9v9c_0XBo,en-IN,Angry,https://www.youtube.com/watch?v=xC9v9c_0XBo,585,615,30,0,"question to advocate AP Singh, I am ashamed of you not for being the lawyer in the case, that's your right. I am utterly ashamed of you advocate AP Singh, not because you've chosen to be the lawyer for these rapists. I am ashamed at you for the manner in which you have trivialized the argument. I am ashamed of you for what you've written. Have you actually written this? I can't believe it that any sensible person can write",Y,Y,
